City,State,Pop,Size
Cheyenne ,WY,"56,915",4
Rogers ,AR,"56,726",4
Madera ,CA,"56,700",4
Tulare ,CA,"56,654",4
Lake Havasu City ,AZ,"56,553",4
Ames ,IA,"56,510",4
Midwest City ,OK,"56,394",4
Arcadia ,CA,"56,248",4
Woodbury ,MN,"56,128",4
Santa Cruz ,CA,"56,124",4
Auburn ,AL,"56,088",4
Decatur ,AL,"56,068",4
Port Arthur ,TX,"55,910",4
North Miami ,FL,"55,908",4
Rowlett ,TX,"55,780",4
Taunton ,MA,"55,702",4
Blue Springs ,MO,"55,698",4
Perris ,CA,"55,643",4
Saginaw ,MI,"55,620",4
San Rafael ,CA,"55,602",4
Malden ,MA,"55,597",4
Medford ,MA,"55,573",4
Fountain Valley ,CA,"55,516",4
Owensboro ,KY,"55,516",4
Orland Park,IL,"55,514",4
St. Peters ,MO,"55,500",4
Conroe ,TX,"55,429",4
Auburn ,WA,"55,426",4
West Des Moines ,IA,"55,426",4
Pasco ,WA,"55,246",4
Paramount ,CA,"55,236",4
Bowling Green ,KY,"55,097",4
Blaine ,MN,"55,042",4
Elyria ,OH,"54,979",4
Chicopee ,MA,"54,941",4
North Port ,FL,"54,907",4
Pocatello ,ID,"54,901",4
Carson City,NV,"54,867",4
Broomfield ,CO,"54,858",4
Ocala ,FL,"54,801",4
La Mesa ,CA,"54,673",4
Petaluma ,CA,"54,666",4
Lancaster ,PA,"54,626",4
Port Orange ,FL,"54,616",4
Woodland ,CA,"54,567",4
Lakeville ,MN,"54,542",4
Wellington,FL,"54,530",4
Wheaton ,IL,"54,465",4
Rosemead ,CA,"54,412",4
Idaho Falls ,ID,"54,334",4
Milford ,CT,"54,136",4
Margate ,FL,"54,086",4
Novi ,MI,"54,054",4
Casper ,WY,"54,047",4
Hempstead,NY,"53,915",4
Santee ,CA,"53,860",4
Pensacola ,FL,"53,820",4
Kettering ,OH,"53,708",4
Hoffman Estates,IL,"53,641",4
Cupertino ,CA,"53,637",4
New Braunfels ,TX,"53,547",4
Bradenton ,FL,"53,513",4
Mount Prospect,IL,"53,338",4
Oak Lawn,IL,"53,244",4
Delano ,CA,"53,051",4
San Marcos ,TX,"52,927",4
Rocklin ,CA,"52,811",4
Novato ,CA,"52,785",4
Elkhart ,IN,"52,653",4
Moore ,OK,"52,615",4
Euless ,TX,"52,579",4
Bowie ,MD,"52,544",4
Chapel Hill,NC,"52,542",4
West Haven ,CT,"52,420",4
Sarasota ,FL,"52,340",4
Manhattan ,KS,"52,284",4
Cathedral City ,CA,"52,095",4
Normal,IL,"52,056",4
Battle Creek ,MI,"52,053",4
Shoreline ,WA,"52,005",4
Hattiesburg ,MS,"51,993",4
Dearborn Heights ,MI,"51,972",4
Porterville ,CA,"51,830",4
Mentor ,OH,"51,825",4
Middletown ,OH,"51,422",4
Niagara Falls ,NY,"51,345",4
Peabody ,MA,"51,331",4
Cerritos ,CA,"51,326",4
Grand Forks ,ND,"51,313",4
Monroe ,LA,"51,215",4
New Brunswick ,NJ,"51,149",4
South Jordan ,UT,"51,131",4
Corvallis ,OR,"51,110",4
Highland ,CA,"51,096",4
Cuyahoga Falls ,OH,"51,090",4
Lake Elsinore ,CA,"50,952",4
La Crosse ,WI,"50,902",4
Palm Desert ,CA,"50,876",4
Burlington ,NC,"50,857",4
Lakewood ,OH,"50,704",4
Sanford ,FL,"50,634",4
Florissant ,MO,"50,561",4
Colton ,CA,"50,517",4
Grapevine ,TX,"50,471",4
Watsonville ,CA,"50,442",4
Coconut Creek ,FL,"50,436",4
Pine Bluff ,AR,"50,408",4
Charleston ,WV,"50,302",4
Hanford ,CA,"50,103",4
Minnetonka ,MN,"50,081",4
Mishawaka ,IN,"50,026",4
Apple Valley ,MN,"50,004",4
Gilroy ,CA,"49,934",4
Berwyn ,IL,"49,919",4
Alpharetta ,GA,"49,903",4
Smyrna ,GA,"49,854",4
La Mirada ,CA,"49,809",4
Joplin ,MO,"49,775",4
Yucaipa ,CA,"49,750",4
Bellevue ,NE,"49,699",4
Placentia ,CA,"49,692",4
Grand Junction ,CO,"49,688",4
Georgetown ,TX,"49,618",4
Rancho Santa Margarita ,CA,"49,591",4
Mansfield ,OH,"49,579",4
Oak Park,IL,"49,557",4
Redmond ,WA,"49,548",4
Brentwood ,CA,"49,480",4
Glendora ,CA,"49,410",4
Downers Grove,IL,"49,250",4
Palm Beach Gardens ,FL,"49,227",4
Huntington ,WV,"49,185",4
San Ramon ,CA,"49,161",4
Bedford ,TX,"49,155",4
Jupiter,FL,"48,879",4
Poway ,CA,"48,858",4
Perth Amboy ,NJ,"48,742",4
Tigard ,OR,"48,713",4
Logan ,UT,"48,657",4
Alexandria ,LA,"48,639",4
Valdosta ,GA,"48,547",4
East Providence ,RI,"48,480",4
Wilson ,NC,"48,433",4
Albany ,OR,"48,081",4
Middletown ,CT,"48,030",4
Palm Springs ,CA,"47,952",4
Sheboygan ,WI,"47,895",4
Hendersonville ,TN,"47,725",4
Greenwood ,IN,"47,720",4
Stillwater ,OK,"47,653",4
DeSoto ,TX,"47,568",4
West Sacramento ,CA,"47,511",4
Bartlett ,TN,"47,501",4
Troy ,NY,"47,459",4
Kentwood ,MI,"47,419",4
Euclid ,OH,"47,415",4
Enid ,OK,"47,396",4
Kirkland ,WA,"47,303",4
Buckeye,AZ,"47,261",4
Newark ,OH,"47,236",4
Pinellas Park ,FL,"47,173",4
Harrisburg ,PA,"47,148",4
Cypress ,CA,"47,123",4
Covina ,CA,"46,944",4
Azusa ,CA,"46,847",4
Lenexa ,KS,"46,822",4
Lehi ,UT,"46,802",4
Roseville ,MI,"46,782",4
Salina ,KS,"46,483",4
West New York,NJ,"46,472",4
Murray ,UT,"46,201",4
Roswell ,NM,"46,198",4
Barnstable Town ,MA,"46,184",4
Glenview,IL,"46,180",4
Richland ,WA,"46,155",4
Altoona ,PA,"46,144",4
Mansfield ,TX,"46,142",4
Portage ,MI,"46,133",4
Plainfield ,NJ,"46,126",4
Chesterfield ,MO,"46,064",4
Elmhurst ,IL,"46,013",4
East Lansing ,MI,"45,857",4
Cleveland Heights ,OH,"45,827",4
Grand Island ,NE,"45,801",4
Kokomo ,IN,"45,694",4
Biloxi ,MS,"45,670",4
Edina ,MN,"45,608",4
Maricopa ,AZ,"45,571",4
DeKalb ,IL,"45,497",4
St. Louis Park ,MN,"45,465",4
Olympia ,WA,"45,322",4
Summerville,SC,"45,193",4
Wauwatosa ,WI,"45,004",4
Cedar Hill ,TX,"44,786",4
Titusville ,FL,"44,756",4
Binghamton ,NY,"44,729",4
Bell Gardens ,CA,"44,692",4
Danville ,VA,"44,660",4
Texas City ,TX,"44,491",4
Bountiful ,UT,"44,473",4
Kingsport ,TN,"44,473",4
Castle Rock,CO,"44,369",4
Dublin ,CA,"44,297",4
Southaven ,MS,"44,076",4
Methuen ,MA,"44,055",4
Huntersville,NC,"44,054",4
Harrisonburg ,VA,"44,015",4
Freeport,NY,"43,881",4
La Quinta ,CA,"43,865",4
Warren ,OH,"43,789",4
Parker,CO,"43,767",4
San Luis Obispo ,CA,"43,636",4
Lincoln ,CA,"43,602",4
Oro Valley,AZ,"43,465",4
East Point ,GA,"43,418",4
Coeur d'Alene ,ID,"43,360",4
Sierra Vista ,AZ,"43,320",4
Woonsocket ,RI,"43,268",4
Lawrence ,IN,"43,247",4
Covington ,KY,"43,235",4
Moline ,IL,"43,088",4
Buffalo Grove,IL,"42,972",4
Lombard,IL,"42,890",4
Attleboro ,MA,"42,833",4
Hackensack ,NJ,"42,804",4
Coral Gables ,FL,"42,781",4
Bonita Springs ,FL,"42,730",4
Prescott ,AZ,"42,697",4
Ceres ,CA,"42,690",4
Pittsfield ,MA,"42,652",4
Farmington ,NM,"42,637",4
Strongsville ,OH,"42,617",4
Kannapolis ,NC,"42,521",4
Commerce City ,CO,"42,473",4
Fairfield ,OH,"42,384",4
Caldwell ,ID,"42,331",4
Draper ,UT,"42,317",4
Oakland Park ,FL,"42,293",4
Ankeny ,IA,"42,287",4
The Colony ,TX,"42,281",4
Concord ,NH,"42,255",4
Bartlett,IL,"42,209",4
Sayreville,NJ,"42,208",4
